resource_type_name,occurrences,MIN(observed_events.observed_event_duration),MAX(observed_events.observed_event_duration),AVG(observed_events.observed_event_duration),STD(observed_events.observed_event_duration),SUM(observed_events.observed_event_duration)
book,11272140,0,3600,53.0383,216.3881206248868,597854670
courseware,105422114,0,3600,56.7173,217.92665819521974,5979260291
exam,1315489,0,3600,249.2340,550.1716663626474,327864623
homework,2844686,0,3600,136.6688,340.40594475559976,388779824
info,2442930,0,3600,113.6855,366.0397179702146,277725781
problem,1,79,79,79.0000,0,79
profile,1328101,0,3600,172.7899,470.9851925344579,229482459
testing,27143,0,3523,72.0094,266.4767117035188,1954552
tutorial,7035332,0,3600,37.7960,166.25784718942572,265907693
unknown,29534,0,3596,165.6156,413.6333443258446,4891291
wiki,568865,0,3600,121.0141,367.2538703183535,68840704
