user_country,occurrences,MIN(observed_events.observed_event_duration),MAX(observed_events.observed_event_duration),AVG(observed_events.observed_event_duration),STD(observed_events.observed_event_duration),SUM(observed_events.observed_event_duration)
US,29687229,0,3600,65.7267,239.80862424330738,1951244248
IN,12195212,0,3600,53.1414,215.38371010987947,648070627
GB,11039674,0,3600,66.6119,240.80534614321968,735373482
CO,8774902,0,3600,61.2277,235.2641826992916,537267044
ES,6722949,0,3600,60.9190,231.29986972471227,409555042
BR,3922545,0,3600,60.0257,230.4807900094481,235453618
PK,3523804,0,3600,48.8590,206.9715212918639,172169561
CA,3455271,0,3600,67.5626,246.34051568390277,233446944
MX,3386427,0,3600,62.8238,236.920500120188,212748212
GR,3234295,0,3600,57.3212,223.8282050084412,185393527
RU,3132961,0,3600,64.9399,246.19142164772597,203454324
PL,3088052,0,3600,59.6033,227.05439333998248,184057995
PE,2185776,0,3600,55.1132,223.22906481469502,120465047
DE,2171985,0,3600,60.6243,228.40352737064805,131675109
CL,2085451,0,3599,63.2053,244.98964472842047,131811542
HU,1749012,0,3600,63.3302,236.41769246754785,110765311
FR,1673407,0,3600,62.6540,236.81711220069963,104845633
UA,1411053,0,3600,57.5452,230.96045842825305,81199308
AR,1377754,0,3600,63.1332,244.83465654425558,86982021
IT,1177325,0,3598,62.2062,234.39574455362728,73236912
AU,1090693,0,3599,68.2465,249.94773552218112,74436024
VE,1058657,0,3600,65.1791,247.29676314280744,69002337
DO,1009149,0,3599,62.0074,233.21028315850006,62574702
RO,993366,0,3600,55.2235,223.84537402873067,54857119
EG,889445,0,3598,50.2357,219.3267997305979,44681903
BD,889408,0,3600,46.9066,213.66497001698167,41719062
PT,870071,0,3600,57.2507,222.72414108319882,49812152
SE,748816,0,3600,68.8241,254.28322678545382,51536574
DK,721328,0,3598,66.0760,245.65030676628243,47662456
NL,635978,0,3600,66.6665,244.83602517928492,42398413
SG,623478,0,3600,66.4438,243.82031039073937,41426229
BE,554018,0,3600,67.8921,248.2854197287846,37613454
MY,537310,0,3599,52.3357,221.82578122703717,28120490
ZA,528499,0,3599,66.3868,247.04329308340422,35085378
TW,516778,0,3600,59.4469,231.06226926152488,30720869
EC,516693,0,3599,64.6922,246.40341504582025,33425987
PH,506263,0,3600,59.2141,231.1369223181435,29977892
IE,479624,0,3591,61.0421,222.7589067281388,29277251
DZ,459917,0,3596,48.2966,215.77155797280892,22212439
NG,454389,0,3598,38.8959,198.49212615008227,17673848
CR,401032,0,3600,61.5060,232.80624209410527,24665885
JP,397661,0,3599,72.7972,261.32367056107324,28948622
CH,362858,0,3600,64.2213,238.00204881194426,23303211
TR,358579,0,3597,62.3883,246.51533324641235,22371148
SA,324453,0,3599,56.5401,222.47936728897523,18344601
NZ,315840,0,3600,66.1810,244.22152664825978,20902595
BG,306292,0,3600,65.2978,249.49116521140508,20000194
AT,300740,0,3598,63.3414,239.88012525715234,19049283
EE,294236,0,3600,63.4456,228.2127492709983,18667989
FI,293936,0,3600,63.0247,236.40479533580844,18525237
PY,292542,0,3599,62.5468,241.3936414251957,18297578
GT,286050,0,3600,53.4427,211.93972924513147,15287295
BO,283387,0,3598,67.1303,265.9275432072452,19023856
LV,278778,0,3596,66.2930,246.32065354316302,18481025
CZ,268590,0,3599,67.5380,247.37672788384955,18140021
RS,261526,0,3595,59.8328,233.5623855101931,15647826
CN,254674,0,3595,70.5472,271.41259401037735,17966547
HR,240553,0,3599,58.4360,225.02428746387366,14056955
NP,231388,0,3590,46.0415,212.49692213794845,10653462
SV,225185,0,3598,67.6864,251.61826984226968,15241965
BY,222849,0,3596,69.5392,254.70743486449902,15496749
EU,219410,0,3596,69.8527,250.43227107852937,15326377
HK,213945,0,3596,69.3853,252.7901244947994,14844633
AE,211588,0,3597,65.1219,243.27884385187147,13779020
ID,203797,0,3598,52.4776,226.28004416469082,10694785
IL,202076,0,3600,65.6052,248.71003741329974,13257233
SI,197023,0,3583,54.5468,209.5042601445162,10746982
KR,190783,0,3580,59.2922,227.6948081473182,11311944
NO,182823,0,3595,59.3519,224.71937826820977,10850893
MA,158939,0,3600,48.7949,215.7037926300578,7755405
A1,154918,0,3592,59.4375,232.30665963987315,9207936
GH,154517,0,3588,56.8395,230.6784204288794,8782671
UY,150042,0,3584,72.8539,262.0247795845232,10931150
LT,138461,0,3598,59.6139,220.72057038377864,8254195
KE,136107,0,3593,53.0600,219.87729371886212,7221842
VN,128281,0,3596,63.3451,242.89249892682162,8125971
PA,122401,0,3587,62.5383,241.4609134878769,7654746
PR,122332,0,3600,64.7055,236.08687804879864,7915548
IR,120784,0,3596,62.3752,253.76951441873402,7533929
KZ,112422,0,3589,59.9107,238.63232884362168,6735285
SK,111207,0,3593,65.1477,246.36886857731213,7244880
AP,106206,0,3600,52.2224,217.24846961454054,5546336
LU,103224,0,3591,55.0053,228.2871649992087,5677867
LB,100304,0,3558,34.3015,166.64581322434188,3440573
TH,98038,0,3572,57.6476,226.28078951104752,5651659
TN,96180,0,3593,54.2577,210.09746003416794,5218501
MT,94350,0,3521,41.2914,191.30069262238098,3895839
ET,94015,0,3595,41.9660,196.00872194203887,3945437
MD,91628,0,3596,58.0724,230.63645714417854,5321061
HN,89158,0,3579,51.1540,214.13426635564747,4560787
CY,86035,0,3583,62.2243,229.4105840559274,5353464
TT,81508,0,3600,75.0465,276.51999261966455,6116894
