resource_name,occurrences,MIN(observed_events.observed_event_duration),MAX(observed_events.observed_event_duration),AVG(observed_events.observed_event_duration),STD(observed_events.observed_event_duration)
https://6002x.mitx.mit.edu/book,8451901,0,3600,50.6330,210.86596814334726
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_1/Administrivia_and_Circuit_Elements/,6928925,0,3600,41.5040,178.96094253277133
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_1/Administrivia_and_Circuit_Elements/#,6644355,0,3600,43.7771,177.84247122511343
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_1/Circuit_Analysis_Toolchest/,4698491,0,3600,46.6698,190.66851772911087
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_1/Circuit_Analysis_Toolchest/#,4110644,0,3600,47.9857,189.11001729219382
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Overview/System_Usage_Sequence/,4106882,0,3600,34.5557,157.47261184723388
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_3/Inside_the_Gate/#,3740473,0,3600,44.4112,178.85317593782264
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_3/Inside_the_Gate/,3658228,0,3600,45.9922,186.36321082934504
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_2/Linearity_and_Superposition/,3597050,0,3600,63.0111,231.64355468443682
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_2/Linearity_and_Superposition/#,3411280,0,3600,56.4887,212.02079407359074
https://6002x.mitx.mit.edu/courseware/,3368440,0,3600,89.1107,333.59759226581485
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_4/Incremental_Analysis/#,2700752,0,3600,58.8133,225.72459111826944
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_2/Static_Discipline_and_Boolean_Logic/#,2640098,0,3600,36.5107,154.71081176649744
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_2/Static_Discipline_and_Boolean_Logic/,2612808,0,3600,38.5740,165.20916372849942
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_4/Incremental_Analysis/,2574846,0,3600,61.1638,237.86637853197888
https://6002x.mitx.mit.edu/info,2423150,0,3600,113.5921,365.7832854432123
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Overview/System_Usage_Sequence/#,2419427,0,3600,38.0000,160.0409229272285
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_3/Circuits_with_Nonlinear_Elements/,2249156,0,3600,52.9237,207.29109266065953
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_3/Circuits_with_Nonlinear_Elements/#,2121484,0,3600,54.4752,204.67803664088967
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_5/MOSFETs%3A_Large_Signals/,1901851,0,3600,48.6805,194.81157988372786
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_5/MOSFETs%3A_Large_Signals/#,1839001,0,3600,49.2112,192.3365678155371
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_4/Dependent_Sources_and_Amplifiers/,1615189,0,3600,48.8994,198.18187577776985
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_8/Ramps%2C_Steps%2C_and_Impulses/,1581205,0,3599,48.3193,195.70696562219047
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_8/Ramps%2C_Steps%2C_and_Impulses/#,1557493,0,3600,50.3210,195.8987801823299
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_4/Dependent_Sources_and_Amplifiers/#,1415440,0,3600,49.9172,195.59732323054627
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_6/Capacitors_and_First-Order_Circuits/,1401615,0,3600,57.3432,214.76810016470134
https://6002x.mitx.mit.edu/profile,1306250,0,3600,173.8018,472.3194158289277
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_6/Capacitors_and_First-Order_Circuits/#,1289241,0,3600,58.1421,212.9255953212366
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_6/Small-Signal_Circuit_Models/,1270435,0,3600,56.0007,215.61223247370316
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_9/Undamped_Second-Order_Systems/,1085201,0,3598,55.7417,213.09853282399766
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_5/MOSFET_Amplifiers%3A_Small_signal_model/,1009144,0,3600,50.3596,202.87410755835512
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_6/Small-Signal_Circuit_Models/#,1008563,0,3598,57.0145,214.09277590973176
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_9/Undamped_Second-Order_Systems/#,966227,0,3598,56.9970,211.39219684123933
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_9/Damped_Second-Order_Systems/,962442,0,3597,51.8359,201.90311441455515
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_1/Basic_Circuit_Analysis/,937714,0,3600,142.3998,362.01017431744015
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_11/Filters/,918975,0,3600,60.1743,224.05214713640768
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_11/Filters/#,913716,0,3598,57.7927,214.98163988314735
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_12/The_Operational_Amplifier_Abstraction/#,902569,0,3600,58.9939,215.98805173622583
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_12/The_Operational_Amplifier_Abstraction/,901665,0,3598,57.3902,218.36788372801652
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_4/Incremental_and_Amplifiers/,841032,0,3600,147.3246,359.1913336484051
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_9/Damped_Second-Order_Systems/#,832651,0,3600,52.7425,197.237613574995
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_7/Speed_of_Digital_Circuits/,818391,0,3600,48.8961,192.3593413375116
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_3/Digital_and_Nonlinear/,816849,0,3600,118.8499,311.2415437728545
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_10/Sinusoidal_Steady_State/,806199,0,3592,61.9397,227.6227745570534
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Overview/Welcome/,772932,0,3600,29.7039,151.41046219254937
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_2/Linearity%2C_Thevenin_and_Norton%3B_Digital/,760134,0,3600,120.4425,331.63726444396525
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_5/MOSFET_Amplifiers%3A_Small_signal_model/#,758412,0,3600,51.6070,199.73507514277162
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_7/Speed_of_Digital_Circuits/#,721024,0,3599,47.6588,185.31160325385483
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_7/Inductors_and_First-Order_Circuits/,706535,0,3600,57.4421,214.6663540069009
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_10/The_Impedance_Model/,705527,0,3598,47.8939,191.7265411984212
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_10/Sinusoidal_Steady_State/#,702386,0,3600,63.6582,230.40726848934602
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_5/MOSFETs/,672836,0,3600,153.9634,367.0155316992698
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_8/State_and_Memory/,654377,0,3596,55.0826,206.8276424184961
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_13/Op_Amps_Positive_Feedback/,625760,0,3600,56.8179,216.97379603394907
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_6/Homework/,613200,0,3600,137.5976,340.1072431651985
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_13/Op_Amps_Positive_Feedback/#,607413,0,3600,57.3780,214.46096052862
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_10/The_Impedance_Model/#,602599,0,3599,48.9304,186.43365140969686
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_12/Operational_Amplifier_Circuits/,593939,0,3600,64.3166,233.83901398289305
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Midterm_Exam/Midterm_Exam/,583216,0,3599,252.9403,552.5299583796345
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Final_Exam/Final_Exam/,581686,0,3600,260.5156,561.8462828589207
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_12/Operational_Amplifier_Circuits/#,535421,0,3600,66.6598,234.27478333602733
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_7/Inductors_and_First-Order_Circuits/#,494848,0,3596,63.0069,217.5985874941242
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_8/State_and_Memory/#,477652,0,3599,59.5505,210.47319727311736
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_8/Homework/,467622,0,3600,145.2521,344.3538996068393
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_9/Homework/,463274,0,3600,130.5867,321.02746230202206
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Overview/Lab0%3A_Using_the_tools/,436417,0,3597,80.1921,253.90546448450795
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_10/Homework/,428492,0,3598,137.2722,341.84429194545606
https://6002x.mitx.mit.edu/book#,392529,0,3600,63.8903,234.12446222452047
https://6002x.mitx.mit.edu/courseware/6.002_Spring_2012/Week_13/Energy_and_Power/,383768,0,3591,48.9846,196.01000470913
