user_country,count
NULL,48495
US,26165
IN,12772
GB,8261
CO,5906
PK,4199
BR,3790
ES,3647
MX,2858
CA,2787
CL,2074
RU,1971
DE,1785
PE,1702
GR,1375
PL,1370
AU,1185
AR,1101
BD,901
FR,895
HU,746
UA,741
VE,693
EG,657
IT,643
CN,616
RO,545
PT,533
DO,530
TR,524
SE,511
IR,511
NL,511
PH,506
IE,505
SG,488
SA,470
ZA,409
CR,375
MY,374
ID,359
KR,359
TW,356
DK,347
NG,343
BE,307
EC,305
JP,281
AE,281
CH,263
BO,243
FI,237
EU,235
BY,228
DZ,220
AT,213
VN,204
NZ,196
MA,194
HK,185
GT,177
PY,177
IL,177
SV,175
NP,173
NO,168
HR,152
BG,151
GH,149
RS,148
A1,146
CZ,143
KE,141
ET,137
TH,128
EE,124
KZ,124
LV,118
LT,114
LK,112
JO,106
SI,94
UY,90
AP,85
HN,85
UG,74
BA,72
LB,71
PR,63
QA,60
TT,59
CY,59
PA,57
AL,55
MN,54
SD,53
TN,51
UZ,48
SK,48
JM,44
PS,43
SY,42
GM,40
KW,39
NI,39
MU,39
IS,38
OM,38
CU,37
MD,36
RW,35
TZ,33
AM,31
YE,29
MM,28
A2,26
KG,25
GE,25
MK,25
ZM,25
LU,24
MT,21
LY,19
CM,19
BH,19
CI,17
IQ,17
IM,16
AF,16
ZW,16
AZ,16
KH,15
FJ,14
GY,13
MV,13
BW,12
HT,11
AO,11
NA,10
ME,10
ER,10
MG,9
BZ,9
MW,9
MO,9
BN,8
JE,8
PG,8
GD,7
SR,7
GI,7
DJ,7
TG,6
BF,6
BB,6
BT,6
CV,5
BS,5
GG,5
AG,5
DM,5
GU,4
VC,4
CD,4
AX,4
TJ,4
LA,4
AW,4
SZ,3
LR,3
VI,3
KY,3
FO,3
MP,2
LC,2
MQ,2
SN,2
MC,2
KN,2
RE,2
MZ,2
AD,2
BI,2
CW,1
FK,1
BJ,1
TM,1
GL,1
BQ,1
BM,1
ML,1
AI,1
CG,1
GP,1
GA,1
GF,1
NC,1
